Player,,College,Year,NUMBER,PICK
Voshon Lenard,Milwaukee Bucks,Minnesota,1994,2,19
Jamie Watson,Utah Jazz,South Carolina,1994,2,20
Jevon Crudup,Detroit Pistons,Missouri,1994,2,21
Kris Bruton,Chicago Bulls,Benedict,1994,2,22
Charles Claxton,Phoenix Suns,Georgia,1994,2,23
Lawrence Funderburke,Sacramento Kings,Ohio State,1994,2,24
Anthony Goldwire,Phoenix Suns,Houston,1994,2,25
Albert Burditt,Houston Rockets,Texas,1994,2,26
Zeljko Rebraca,Seattle SuperSonics,KK Partizan (Serbia),1994,2,27
Chris Webber,Orlando Magic,Michigan,1993,1,1
Shawn Bradley,Philadelphia 76ers,Brigham Young,1993,1,2
Anfernee Hardaway,Golden State Warriors,Memphis,1993,1,3
Jamal Mashburn,Dallas Mavericks,Kentucky,1993,1,4
Isaiah Rider,Minnesota Timberwolves,Nevada-Las Vegas,1993,1,5
Calbert Cheaney,Washington Bullets,Indiana,1993,1,6
Bobby Hurley,Sacramento Kings,Duke,1993,1,7
Vin Baker,Milwaukee Bucks,Hartford,1993,1,8
Rodney Rogers,Denver Nuggets,Wake Forest,1993,1,9
Lindsey Hunter,Detroit Pistons,Jackson State,1993,1,10
Allan Houston,Detroit Pistons,Tennessee,1993,1,11
George Lynch,Los Angeles Lakers,North Carolina,1993,1,12
Terry Dehere,Los Angeles Clippers,Seton Hall,1993,1,13
Scott Haskin,Indiana Pacers,Oregon State,1993,1,14
Doug Edwards,Atlanta Hawks,Florida State,1993,1,15
Rex Walters,New Jersey Nets,Kansas,1993,1,16
Greg Graham,Charlotte Hornets,Indiana,1993,1,17
Luther Wright,Utah Jazz,Seton Hall,1993,1,18
Acie Earl,Boston Celtics,Iowa,1993,1,19
Scott Burrell,Charlotte Hornets,Connecticut,1993,1,20
James Robinson,Portland Trail Blazers,Alabama,1993,1,21
Chris Mills,Cleveland Cavaliers,Arizona,1993,1,22
Ervin Johnson,Seattle SuperSonics,New Orleans,1993,1,23
Sam Cassell,Houston Rockets,Florida State,1993,1,24
Corie Blount,Chicago Bulls,Cincinnati,1993,1,25
Geert Hammink,Orlando Magic,Louisiana State,1993,1,26
Malcolm Mackey,Phoenix Suns,Georgia Tech,1993,1,27
Lucious Harris,Dallas Mavericks,Long Beach State,1993,2,1
Sherron Mills,Minnesota Timberwolves,Virginia Commonwealth,1993,2,2
Gheorghe Muresan,Washington Bullets,Elan Bearnais Pau-Orthez (France),1993,2,3
Evers Burns,Sacramento Kings,Maryland,1993,2,4
Alphonso Ford,Philadelphia 76ers,Mississippi Valley State,1993,2,5
Eric Riley,Dallas Mavericks,Michigan,1993,2,6
Darnell Mee,Golden State Warriors,Western Kentucky,1993,2,7
Ed Stokes,Miami Heat,Arizona,1993,2,8
John Best,New Jersey Nets,Tennessee Tech,1993,2,9
Nick Van Exel,Los Angeles Lakers,Cincinnati,1993,2,10
Conrad McRae,Washington Bullets,Syracuse,1993,2,11
Thomas Hill,Indiana Pacers,Duke,1993,2,12
Richard Manning,Atlanta Hawks,Washington,1993,2,13
Anthony Reed,Chicago Bulls,Tulane,1993,2,14
Adonis Jordan,Seattle SuperSonics,Kansas,1993,2,15
Josh Grant,Denver Nuggets,Utah,1993,2,16
Alex Holcombe,Sacramento Kings,Baylor,1993,2,17
Bryon Russell,Utah Jazz,Long Beach State,1993,2,18
Richard Petruska,Houston Rockets,California-Los Angeles,1993,2,19
Chris Whitney,San Antonio Spurs,Clemson,1993,2,20
Kevin Thompson,Portland Trail Blazers,North Carolina State,1993,2,21
Mark Buford,Phoenix Suns,Mississippi Valley State,1993,2,22
Marcelo Nicola,Houston Rockets,Saski Baskonia (Spain),1993,2,23
Spencer Dunkley,Indiana Pacers,Delaware,1993,2,24
Mike Peplowski,Sacramento Kings,Michigan State,1993,2,25
Leonard White,Los Angeles Clippers,Southern University,1993,2,26
Byron Wilson,Phoenix Suns,Utah,1993,2,27
Shaquille O'Neal,Orlando Magic,Louisiana State,1992,1,1
Alonzo Mourning,Charlotte Hornets,Georgetown,1992,1,2
Christian Laettner,Minnesota Timberwolves,Duke,1992,1,3
Jim Jackson,Dallas Mavericks,Ohio State,1992,1,4
LaPhonso Ellis,Denver Nuggets,Notre Dame,1992,1,5
Tom Gugliotta,Washington Bullets,North Carolina State,1992,1,6
Walt Williams,Sacramento Kings,Maryland,1992,1,7
Todd Day,Milwaukee Bucks,Arkansas,1992,1,8
Clar. Weatherspoon,Philadelphia 76ers,Southern Mississippi,1992,1,9
Adam Keefe,Atlanta Hawks,Stanford,1992,1,10
Robert Horry,Houston Rockets,Alabama,1992,1,11
Harold Miner,Miami Heat,Southern California,1992,1,12
Bryant Stith,Denver Nuggets,Virginia,1992,1,13
Malik Sealy,Indiana Pacers,St. John's (NY),1992,1,14
Anthony Peeler,Los Angeles Lakers,Missouri,1992,1,15
Randy Woods,Los Angeles Clippers,La Salle,1992,1,16
Doug Christie,Seattle SuperSonics,Pepperdine,1992,1,17
Tracy Murray,San Antonio Spurs,California-Los Angeles,1992,1,18
Don MacLean,Detroit Pistons,California-Los Angeles,1992,1,19
Hubert Davis,New York Knicks,North Carolina,1992,1,20
Jon Barry,Boston Celtics,Georgia Tech,1992,1,21
Oliver Miller,Phoenix Suns,Arkansas,1992,1,22
Lee Mayberry,Milwaukee Bucks,Arkansas,1992,1,23
Latrell Sprewell,Golden State Warriors,Alabama,1992,1,24
Elmore Spencer,Los Angeles Clippers,Nevada-Las Vegas,1992,1,25
Dave Johnson,Portland Trail Blazers,Syracuse,1992,1,26
Byron Houston,Chicago Bulls,Oklahoma State,1992,1,27
Marlon Maxey,Minnesota Timberwolves,Texas-El Paso,1992,2,1
P.J. Brown,New Jersey Nets,Louisiana Tech,1992,2,2
Sean Rooks,Dallas Mavericks,Arizona,1992,2,3
Reggie Smith,Portland Trail Blazers,Texas Christian,1992,2,4
Brent Price,Washington Bullets,Oklahoma,1992,2,5
Corey Williams,Chicago Bulls,Oklahoma State,1992,2,6
Chris Smith,Minnesota Timberwolves,Connecticut,1992,2,7
Tony Bennett,Charlotte Hornets,Wisconsin-Green Bay,1992,2,8
Duane Cooper,Los Angeles Lakers,Southern California,1992,2,9
Isaiah Morris,Miami Heat,Arkansas,1992,2,10
Elmer Bennett,Atlanta Hawks,Notre Dame,1992,2,11
Litterial Green,Chicago Bulls,Georgia,1992,2,12
Steve Rogers,New Jersey Nets,Alabama State,1992,2,13
Popeye Jones,Houston Rockets,Murray State,1992,2,14
Matt Geiger,Miami Heat,Georgia Tech,1992,2,15
Sasha Danilovic,Golden State Warriors,KK Partizan (Serbia),1992,2,16
Henry Williams,San Antonio Spurs,North Carolina-Charlotte,1992,2,17
Chris King,Seattle SuperSonics,Wake Forest,1992,2,18
Robert Werdann,Denver Nuggets,St. John's (NY),1992,2,19
Darren Morningstar,Boston Celtics,Pittsburgh,1992,2,20
Brian Davis,Phoenix Suns,Duke,1992,2,21
Ron Ellis,Phoenix Suns,Louisiana Tech,1992,2,22
Matt Fish,Golden State Warriors,North Carolina-Wilmington,1992,2,23
Tim Burroughs,Minnesota Timberwolves,Jacksonville,1992,2,24
Matt Steigenga,Chicago Bulls,Michigan State,1992,2,25
Curtis Blair,Houston Rockets,Richmond,1992,2,26
Brett Roberts,Sacramento Kings,Morehead State,1992,2,27
Larry Johnson,Charlotte Hornets,Nevada-Las Vegas,1991,1,1
Kenny Anderson,New Jersey Nets,Georgia Tech,1991,1,2
Billy Owens,Sacramento Kings,Syracuse,1991,1,3
Dikembe Mutombo,Denver Nuggets,Georgetown,1991,1,4
Steven Smith,Miami Heat,Michigan State,1991,1,5
Doug Smith,Dallas Mavericks,Missouri,1991,1,6
Luc Longley,Minnesota Timberwolves,New Mexico,1991,1,7
Mark Macon,Denver Nuggets,Temple,1991,1,8
Stacey Augmon,Atlanta Hawks,Nevada-Las Vegas,1991,1,9
Bison Dele,Orlando Magic,Arizona,1991,1,10
Terrell Brandon,Cleveland Cavaliers,Oregon,1991,1,11
Greg Anthony,New York Knicks,Nevada-Las Vegas,1991,1,12
Dale Davis,Indiana Pacers,Clemson,1991,1,13
Rich King,Seattle SuperSonics,Nebraska,1991,1,14
Anthony Avent,Atlanta Hawks,Seton Hall,1991,1,15
Chris Gatling,Golden State Warriors,Old Dominion,1991,1,16
Victor Alexander,Golden State Warriors,Iowa State,1991,1,17
Kevin Brooks,Milwaukee Bucks,Louisiana-Lafayette,1991,1,18
Labradford Smith,Washington Bullets,Louisville,1991,1,19
John Turner,Houston Rockets,Phillips,1991,1,20
Eric Murdock,Utah Jazz,Providence,1991,1,21
LeRon Ellis,Los Angeles Clippers,Syracuse,1991,1,22
Stanley Roberts,Orlando Magic,Louisiana State,1991,1,23
Rick Fox,Boston Celtics,North Carolina,1991,1,24
Shaun Vandiver,Golden State Warriors,Colorado,1991,1,25
Mark Randall,Chicago Bulls,Kansas,1991,1,26
Pete Chilcutt,Sacramento Kings,North Carolina,1991,1,27
Kevin Lynch,Charlotte Hornets,Minnesota,1991,2,1
George Ackles,Miami Heat,Nevada-Las Vegas,1991,2,2
Rodney Monroe,Atlanta Hawks,North Carolina State,1991,2,3
Randy Brown,Sacramento Kings,New Mexico State,1991,2,4
Chad Gallagher,Phoenix Suns,Creighton,1991,2,5
Donald Hodge,Dallas Mavericks,Temple,1991,2,6
Myron Brown,Minnesota Timberwolves,Slippery Rock,1991,2,7
Mike Iuzzolino,Dallas Mavericks,Saint Francis (PA),1991,2,8
Chris Corchiani,Orlando Magic,North Carolina State,1991,2,9
Elliot Perry,Los Angeles Clippers,Memphis,1991,2,10
Joe Wylie,Los Angeles Clippers,Miami (FL),1991,2,11
Jimmy Oliver,Cleveland Cavaliers,Purdue,1991,2,12
Doug Overton,Detroit Pistons,La Salle,1991,2,13
Sean Green,Indiana Pacers,Iona,1991,2,14
Steve Hood,Sacramento Kings,James Madison,1991,2,15
Lamont Strothers,Golden State Warriors,Christopher Newport,1991,2,16
Alvaro Teheran,Philadelphia 76ers,Houston,1991,2,17
Bobby Phills,Milwaukee Bucks,Southern University,1991,2,18
Richard Dumas,Phoenix Suns,Oklahoma State,1991,2,19
Keith Hughes,Houston Rockets,Rutgers,1991,2,20
Ike Austin,Utah Jazz,Arizona State,1991,2,21
Greg Sutton,San Antonio Spurs,Oral Roberts,1991,2,22
Joey Wright,Phoenix Suns,Texas,1991,2,23
Zan Tabak,Houston Rockets,KK Split (Croatia),1991,2,24
Anthony Jones,Los Angeles Lakers,Oral Roberts,1991,2,25
Von McDade,New Jersey Nets,Milwaukee,1991,2,26
Marcus Kennedy,Portland Trail Blazers,Eastern Michigan,1991,2,27
Derrick Coleman,New Jersey Nets,Syracuse,1990,1,1
Gary Payton,Seattle SuperSonics,Oregon State,1990,1,2
Mahmoud Abdul-Rauf,Denver Nuggets,Louisiana State,1990,1,3
Dennis Scott,Orlando Magic,Georgia Tech,1990,1,4
Kendall Gill,Charlotte Hornets,Illinois,1990,1,5
Felton Spencer,Minnesota Timberwolves,Louisville,1990,1,6
Lionel Simmons,Sacramento Kings,La Salle,1990,1,7
Bo Kimble,Los Angeles Clippers,Loyola-Marymount,1990,1,8
Willie Burton,Miami Heat,Minnesota,1990,1,9
Rumeal Robinson,Atlanta Hawks,Michigan,1990,1,10
Tyrone Hill,Golden State Warriors,Xavier,1990,1,11
Alec Kessler,Houston Rockets,Georgia,1990,1,12
Loy Vaught,Los Angeles Clippers,Michigan,1990,1,13
Travis Mays,Sacramento Kings,Texas,1990,1,14
Dave Jamerson,Miami Heat,Ohio,1990,1,15
Terry Mills,Milwaukee Bucks,Michigan,1990,1,16
Jerrod Mustaf,New York Knicks,Maryland,1990,1,17
Duane Causwell,Sacramento Kings,Temple,1990,1,18
Dee Brown,Boston Celtics,Jacksonville,1990,1,19
Gerald Glass,Minnesota Timberwolves,Mississippi,1990,1,20
Jayson Williams,Phoenix Suns,St. John's (NY),1990,1,21
Tate George,New Jersey Nets,Connecticut,1990,1,22
Anthony Bonner,Sacramento Kings,Saint Louis,1990,1,23
Dwayne Schintzius,San Antonio Spurs,Florida,1990,1,24
Alaa Abdelnaby,Portland Trail Blazers,Duke,1990,1,25
Lance Blanks,Detroit Pistons,Texas,1990,1,26
Elden Campbell,Los Angeles Lakers,Clemson,1990,1,27
Les Jepsen,Golden State Warriors,Iowa,1990,2,1
Toni Kukoc,Chicago Bulls,Universo Treviso Basket (Italy),1990,2,2
Carl Herrera,Miami Heat,Houston,1990,2,3
Negele Knight,Phoenix Suns,Dayton,1990,2,4
Brian Oliver,Philadelphia 76ers,Georgia Tech,1990,2,5
Walter Palmer,Utah Jazz,Dartmouth,1990,2,6
Kevin Pritchard,Golden State Warriors,Kansas,1990,2,7
Greg Foster,Washington Bullets,Texas-El Paso,1990,2,8
Trevor Wilson,Atlanta Hawks,California-Los Angeles,1990,2,9
A.J. English,Washington Bullets,Virginia Union,1990,2,10
Jud Buechler,Seattle SuperSonics,Arizona,1990,2,11
Steve Scheffler,Charlotte Hornets,Purdue,1990,2,12
Bimbo Coles,Sacramento Kings,Virginia Tech,1990,2,13
Stephen Bardo,Atlanta Hawks,Illinois,1990,2,14
Marcus Liberty,Denver Nuggets,Illinois,1990,2,15
Tony Massenburg,San Antonio Spurs,Maryland,1990,2,16
Steve Henson,Milwaukee Bucks,Kansas State,1990,2,17
Antonio Davis,Indiana Pacers,Texas-El Paso,1990,2,18
Kenny Williams,Indiana Pacers,Elizabeth City State,1990,2,19
Derek Strong,Philadelphia 76ers,Xavier,1990,2,20
Cedric Ceballos,Phoenix Suns,Cal State-Fullerton,1990,2,21
Phil Henderson,Dallas Mavericks,Duke,1990,2,22
Milos Babic,Phoenix Suns,Tennessee Tech,1990,2,23
Tony Smith,Los Angeles Lakers,Marquette,1990,2,24
Stefano Rusconi,Cleveland Cavaliers,Pallacanestro Varese (Italy),1990,2,25
Abdul Shamsid-Deen,Seattle SuperSonics,Providence,1990,2,26
Sean Higgins,San Antonio Spurs,Michigan,1990,2,27
Pervis Ellison,Sacramento Kings,Louisville,1989,1,1
Danny Ferry,Los Angeles Clippers,Duke,1989,1,2
Sean Elliott,San Antonio Spurs,Arizona,1989,1,3
Glen Rice,Miami Heat,Michigan,1989,1,4
J.R. Reid,Charlotte Hornets,North Carolina,1989,1,5
Stacey King,Chicago Bulls,Oklahoma,1989,1,6
George McCloud,Indiana Pacers,Florida State,1989,1,7
Randy White,Dallas Mavericks,Louisiana Tech,1989,1,8
Tom Hammonds,Washington Bullets,Georgia Tech,1989,1,9
Pooh Richardson,Minnesota Timberwolves,California-Los Angeles,1989,1,10
Nick Anderson,Orlando Magic,Illinois,1989,1,11
Mookie Blaylock,New Jersey Nets,Oklahoma,1989,1,12
Michael Smith,Boston Celtics,Brigham Young,1989,1,13
Tim Hardaway,Golden State Warriors,Texas-El Paso,1989,1,14
Todd Lichti,Denver Nuggets,Stanford,1989,1,15
Dana Barros,Seattle SuperSonics,Boston College,1989,1,16
Shawn Kemp,Seattle SuperSonics,Trinity Valley Community College,1989,1,17
B.J. Armstrong,Chicago Bulls,Iowa,1989,1,18
Kenny Payne,Philadelphia 76ers,Louisville,1989,1,19
Jeff Sanders,Chicago Bulls,Georgia Southern,1989,1,20
Blue Edwards,Utah Jazz,East Carolina,1989,1,21
Byron Irvin,Portland Trail Blazers,Missouri,1989,1,22
Roy Marble,Atlanta Hawks,Iowa,1989,1,23
Anthony Cook,Phoenix Suns,Arizona,1989,1,24
John Morton,Cleveland Cavaliers,Seton Hall,1989,1,25
Vlade Divac,Los Angeles Lakers,KK Partizan (Serbia),1989,1,26
Kenny Battle,Detroit Pistons,Illinois,1989,1,27
Sherman Douglas,Miami Heat,Syracuse,1989,2,1
Dyron Nix,Charlotte Hornets,Tennessee,1989,2,2
Frank Kornet,Milwaukee Bucks,Vanderbilt,1989,2,3
Jeff Martin,Los Angeles Clippers,Murray State,1989,2,4
Stanley Brundy,New Jersey Nets,DePaul,1989,2,5
Jay Edwards,Los Angeles Clippers,Indiana,1989,2,6
Gary Leonard,Minnesota Timberwolves,Missouri,1989,2,7
Pat Durham,Dallas Mavericks,Colorado State,1989,2,8
Clifford Robinson,Portland Trail Blazers,Connecticut,1989,2,9
Michael Ansley,Orlando Magic,Alabama,1989,2,10
Doug West,Minnesota Timberwolves,Villanova,1989,2,11
Ed Horton,Washington Bullets,Iowa,1989,2,12
Dino Radja,Boston Celtics,KK Split (Croatia),1989,2,13
Doug Roth,Washington Bullets,Tennessee,1989,2,14
Michael Cutright,Denver Nuggets,McNeese State,1989,2,15
Chucky Brown,Cleveland Cavaliers,North Carolina State,1989,2,16
Reggie Cross,Philadelphia 76ers,Hawaii,1989,2,17
Scott Haffner,Miami Heat,Evansville,1989,2,18
Ricky Blanton,Phoenix Suns,Louisiana State,1989,2,19
Reggie Turner,Denver Nuggets,Alabama-Birmingham,1989,2,20
Junie Lewis,Utah Jazz,South Alabama,1989,2,21
Haywoode Workman,Atlanta Hawks,Oral Roberts,1989,2,22
Brian Quinnett,New York Knicks,Washington State,1989,2,23
Mike Morrison,Phoenix Suns,Loyola-Maryland,1989,2,24
Greg Grant,Phoenix Suns,College of New Jersey,1989,2,25
Jeff Hodge,Dallas Mavericks,South Alabama,1989,2,26
Toney Mack,Philadelphia 76ers,Georgia,1989,2,27
